CueName,targetFile,index
M_0029,bgm_main.awb,0
M_0030,bgm_main.awb,1
M_0031,bgm_main.awb,2
M_0032,bgm_main.awb,3
M_0033,bgm_main.awb,4
M_0034,bgm_main.awb,5
M_0209,bgm_main.awb,6
M_0002,bgm_main.awb,7
M_0004,bgm_main.awb,8
M_0006,bgm_main.awb,9
M_0007,bgm_main.awb,10
M_0008,bgm_main.awb,11
M_0009,bgm_main.awb,12
M_1000,bgm_main.awb,13
M_1000_SPK,bgm_main.awb,13
M_1001,bgm_main.awb,14
M_1001_SPK,bgm_main.awb,14
M_1002,bgm_main.awb,15
M_1002_SPK,bgm_main.awb,15
M_1003,bgm_main.awb,16
M_1003_SPK,bgm_main.awb,16
M_1004,bgm_main.awb,17
M_1004_SPK,bgm_main.awb,17
M_1005,bgm_main.awb,18
M_1005_SPK,bgm_main.awb,18
M_1006,bgm_main.awb,19
M_1006_SPK,bgm_main.awb,19
M_1007,bgm_main.awb,20
M_1007_SPK,bgm_main.awb,20
M_1008,bgm_main.awb,21
M_1008_SPK,bgm_main.awb,21
M_1009,bgm_main.awb,22
M_1009_SPK,bgm_main.awb,22
M_1010,bgm_main.awb,23
M_1010_SPK,bgm_main.awb,23
M_1011,bgm_main.awb,24
M_1011_SPK,bgm_main.awb,24
M_1012,bgm_main.awb,25
M_1012_SPK,bgm_main.awb,25
M_1013,bgm_main.awb,26
M_1013_SPK,bgm_main.awb,26
M_1014,bgm_main.awb,27
M_1014_SPK,bgm_main.awb,27
M_1015,bgm_main.awb,28
M_1015_SPK,bgm_main.awb,28
M_1016,bgm_main.awb,29
M_1016_SPK,bgm_main.awb,29
M_1017,bgm_main.awb,30
M_1017_SPK,bgm_main.awb,30
M_1018,bgm_main.awb,31
M_1018_SPK,bgm_main.awb,31
M_1019,bgm_main.awb,32
M_1019_SPK,bgm_main.awb,32
M_1020,bgm_main.awb,33
M_1020_SPK,bgm_main.awb,33
M_1021,bgm_main.awb,34
M_1021_SPK,bgm_main.awb,34
M_1022,bgm_main.awb,35
M_1022_SPK,bgm_main.awb,35
M_1023,bgm_main.awb,36
M_1023_SPK,bgm_main.awb,36
M_1024,bgm_main.awb,37
M_1024_SPK,bgm_main.awb,37
M_1025,bgm_main.awb,38
M_1025_SPK,bgm_main.awb,38
M_1026,bgm_main.awb,39
M_1026_SPK,bgm_main.awb,39
M_1027,bgm_main.awb,40
M_1027_SPK,bgm_main.awb,40
M_1028,bgm_main.awb,41
M_1028_SPK,bgm_main.awb,41
M_1029,bgm_main.awb,42
M_1029_SPK,bgm_main.awb,42
M_1030,bgm_main.awb,43
M_1030_SPK,bgm_main.awb,43
M_1031,bgm_main.awb,44
M_1031_SPK,bgm_main.awb,44
M_1032,bgm_main.awb,45
M_1032_SPK,bgm_main.awb,45
M_1033,bgm_main.awb,46
M_1033_SPK,bgm_main.awb,46
M_1034,bgm_main.awb,47
M_1034_SPK,bgm_main.awb,47
M_1035,bgm_main.awb,48
M_1035_SPK,bgm_main.awb,48
M_1036,bgm_main.awb,49
M_1036_SPK,bgm_main.awb,49
M_1037,bgm_main.awb,50
M_1037_SPK,bgm_main.awb,50
M_1038,bgm_main.awb,51
M_1038_SPK,bgm_main.awb,51
M_1039,bgm_main.awb,52
M_1039_SPK,bgm_main.awb,52
M_1040,bgm_main.awb,53
M_1040_SPK,bgm_main.awb,53
M_1041,bgm_main.awb,54
M_1041_SPK,bgm_main.awb,54
M_1042,bgm_main.awb,55
M_1042_SPK,bgm_main.awb,55
M_1043,bgm_main.awb,56
M_1043_SPK,bgm_main.awb,56
M_1044,bgm_main.awb,57
M_1044_SPK,bgm_main.awb,57
M_0010,bgm_main.awb,58
M_0011,bgm_main.awb,59
M_0012,bgm_main.awb,60
M_0013,bgm_main.awb,61
M_0014,bgm_main.awb,62
M_0015,bgm_main.awb,63
M_0016,bgm_main.awb,64
M_0017,bgm_main.awb,65
M_0018,bgm_main.awb,66
M_0202,bgm_main.awb,67
M_0203,bgm_main.awb,68
M_0204,bgm_main.awb,69
M_0205,bgm_main.awb,70
M_0206,bgm_main.awb,71
M_0207,bgm_main.awb,72
M_0208,bgm_main.awb,73
M_0020,bgm_main.awb,74
M_0022,bgm_main.awb,75
MainMenuBGM_SelecterDefaultChange_2_MMU006_Zeno,bgm_main.awb,75
MainMenuBGM_SelecterChange_2_MMU006_Zeno,bgm_main.awb,75
M_0023,bgm_main.awb,76
M_0025,bgm_main.awb,77
MainMenuBGM_SelecterDefaultChange_4_MMU008_Sata,bgm_main.awb,77
MainMenuBGM_SelecterChange_4_MMU008_Sata,bgm_main.awb,77
M_0026,bgm_main.awb,78
M_0027,bgm_main.awb,79
MainMenuBGM_SelecterDefaultChange_3_MMU007_Shop,bgm_main.awb,79
MainMenuBGM_SelecterChange_3_MMU007_Shop,bgm_main.awb,79
M_0028,bgm_main.awb,80
placeholder,bgm_main_Cnk_00.awb,81
placeholder,bgm_main_Cnk_00.awb,82
M_0001,bgm_main_Cnk_00.awb,83
M_0003,bgm_main_Cnk_00.awb,84
M_0003_TUTOEND,bgm_main_Cnk_00.awb,85
M_0005,bgm_main_Cnk_00.awb,86
MainMenuBGM_SelecterDefaultChange_0_MMU002_Cpsl,bgm_main_Cnk_00.awb,86
MainMenuBGM_SelecterChange_0_MMU002_Cpsl,bgm_main_Cnk_00.awb,86
M_0100,bgm_main_Cnk_00.awb,87
M_0101,bgm_main_Cnk_00.awb,88
M_0102,bgm_main_Cnk_00.awb,89
M_0103,bgm_main_Cnk_00.awb,90
M_0104,bgm_main_Cnk_00.awb,91
M_0105,bgm_main_Cnk_00.awb,92
M_0106,bgm_main_Cnk_00.awb,93
M_0107,bgm_main_Cnk_00.awb,94
M_0108,bgm_main_Cnk_00.awb,95
M_0109,bgm_main_Cnk_00.awb,96
M_1100,bgm_main_Cnk_00.awb,97
M_1100_SPK,bgm_main_Cnk_00.awb,97
OP_MOVIE2,bgm_main_Cnk_00.awb,98
M_0110,bgm_main_Cnk_00.awb,99
M_0111,bgm_main_Cnk_00.awb,100
M_0112,bgm_main_Cnk_00.awb,101
M_0113,bgm_main_Cnk_00.awb,102
M_0114,bgm_main_Cnk_00.awb,103
M_0115,bgm_main_Cnk_00.awb,104
M_0116,bgm_main_Cnk_00.awb,105
M_0117,bgm_main_Cnk_00.awb,106
M_0118,bgm_main_Cnk_00.awb,107
M_0119,bgm_main_Cnk_00.awb,108
M_0120,bgm_main_Cnk_00.awb,109
M_0121,bgm_main_Cnk_00.awb,110
M_0122,bgm_main_Cnk_00.awb,111
M_0019,bgm_main_Cnk_00.awb,112
MainMenuBGM_SelecterDefaultChange_1_MMU005_Tenk,bgm_main_Cnk_00.awb,112
MainMenuBGM_SelecterChange_1_MMU005_Tenk,bgm_main_Cnk_00.awb,112
M_0200,bgm_main_Cnk_00.awb,113
M_0201,bgm_main_Cnk_00.awb,114
M_0021,bgm_main_Cnk_00.awb,115
M_0024,bgm_main_Cnk_00.awb,116
M_0123,bgm_main_Cnk_00.awb,117
